Year,Spec,X,Y,FirstFound,AgeFound,Exposure,Fate,InitBHCO,Clutch,InitClutch
2023,RWBL,465601,5176970,6/17/2023,11,4,Failed,0,4,4
2023,BWTE,465673,5176938,5/23/2023,-5,11,Failed,0,6,1
2023,PBGR,465219,5176904,6/9/2023,NA,11,Failed,0,6,6
2023,BRBL,465096,5177220,6/7/2023,7,5,Failed,2,1,1
2023,GADW,465034,5176944,6/13/2023,13,10,Failed,0,10,10
2023,BWTE,465150,5176927,5/28/2023,-2,26,Survive,0,11,9
2023,NOPI,465093,5176903,6/5/2023,2,4,Failed,0,7,7
2023,CCSP,464838,5176938,6/12/2023,8,10,Failed,2,2,3
2023,CCSP,464744,5176342,7/9/2023,9,11,Survive,0,4,4
2023,CCSP,464631,5176301,7/9/2023,9,11,Survive,0,3,3
2023,CCSP,464501,5176354,7/11/2023,10,9,Survive,1,2,2
2023,RWBL,464891,5176137,7/8/2023,9,12,Survive,0,5,5
2023,CCSP,464334,5176952,7/12/2023,12,8,Survive,1,1,2
2023,YHBL,465214,5176921,6/14/2023,13,12,Survive,0,4,0
2023,CCSP,465078,5177062,6/13/2023,13,2,Survive,0,3,1
2023,GADW,464687,5176977,6/29/2023,4,1,Failed,0,8,8
2023,GADW,464814,5176630,6/29/2023,5,7,Failed,0,8,8
2023,BRBL,465590,5176097,6/19/2023,7,19,Survive,0,4,4
2023,GADW,465088,5176683,6/13/2023,-1,25,Survive,0,9,8
2023,GWTE,464360,5176455,6/27/2023,11,12,Survive,0,6,6
2023,MAWR,464695,5176577,6/14/2023,NA,16,Failed,0,4,NA
2023,GADW,465646,5176504,6/15/2023,3,14,Failed,0,11,11
2023,CCSP,464614,5176539,6/7/2023,9,12,Failed,1,3,3
2023,UPSA,464330,5176383,6/7/2023,NA,9,Failed,0,4,4
2023,NOPI,465557,5176470,5/24/2023,-1,12,Failed,0,9,8
2023,MALL,465075,5176348,5/25/2023,-2,4,Failed,0,8,6
2023,EAKI,465229,5176348,6/16/2023,7,10,Failed,0,4,4
2023,GADW,464976,5176469,6/12/2023,1,8,Failed,0,9,9
2023,GADW,464898,5176675,6/12/2023,6,10,Failed,0,11,11
2023,BWTE,464931,5176996,6/12/2023,7,16,Survive,0,11,11
2023,NOPI,464982,5177005,6/7/2023,-2,13,Failed,0,9,7
2023,BWTE,464814,5176528,6/16/2023,11,3,Failed,0,8,8
2023,NOPI,464714,5176478,6/7/2023,2,3,Failed,0,8,8
2023,WISN,464197,5177133,6/9/2023,-1,9,Failed,0,4,3
