Year,id,Spec,FirstFound,LastPresent,LastChecked,Fate,Freq,Expos,AgeFound,AgeDay1,Stage,Nestling,InitBHCO,BHCONum,BHCOPres,InitClutch,Clutch,Open,KBG,SmoothB,Litter,Bare,Forb,Grasslike,Woody,LitterD,Veg.Height,VOR,Paddock,Replicate,cTreat,pTreat,cDoD,pDoD,grazed,grazep,start,end
2024,BRBL04649715176113,BRBL,6,9,12,1,1,6,5,0,Incubating,0,3,3,1,2,2,NA,28.636363636363637,1.3636363636363635,44.54545454545455,1.3636363636363635,6.8181818181818175,0,17.272727272727273,45,740,5.75,8,SE,68,0,NA,0,NA,NA,NA,NA
2024,BRBL04650605176361,BRBL,45,48,51,1,2,6,-3,-47,Incubating,0,1,1,1,1,2,NA,33.86454183266932,5.9760956175298805,39.04382470119522,0,5.9760956175298805,0,15.139442231075698,35,845,7,6,SE,39,49,NA,NA,NA,NA,NA,NA
2024,BRBL04650865176403,BRBL,1,1,4,1,1,3,8,8,Incubating,0,3,3,1,2,2,NA,5.813953488372093,24.418604651162788,37.98449612403101,1.1627906976744187,14.728682170542637,1.1627906976744187,14.728682170542637,110,720,5,5,SE,49,68,NA,NA,NA,NA,NA,NA
2024,BRBL04651665176638,BRBL,42,51,51,0,1,9,15,-26,Nestling,1,0,0,0,3,3,NA,13.718411552346572,22.743682310469314,35.37906137184115,0,5.415162454873646,0,22.743682310469314,65,860,6.75,2,NE,39,49,NA,NA,NA,NA,NA,NA
2024,BRBL04652425175833,BRBL,30,30,32,1,2,2,5,-24,Incubating,0,4,4,1,2,2,NA,6.637168141592921,0,43.36283185840708,0,6.637168141592921,0,43.36283185840708,40,875,8,7,SE,0,39,0,NA,0,0,NA,NA
2024,BRBL04652465175824,BRBL,30,30,32,1,2,2,2,-27,Incubating,0,1,1,1,4,4,NA,24.137931034482758,0,37.547892720306514,0,5.747126436781609,0,32.56704980842912,45,930,7,7,SE,0,39,0,NA,0,0,NA,NA
2024,BRBL04653205175678,BRBL,30,37,40,1,1,10,-4,-33,Incubating,0,0,3,1,0,3,NA,21.070234113712374,12.709030100334449,32.77591973244147,0,5.016722408026756,0,28.428093645484946,70,1000,10.5,7,SE,0,39,0,NA,0,0,NA,NA
2024,BRBL04654135176015,BRBL,4,4,7,1,1,3,11,8,Incubating,0,0,0,0,4,4,NA,30.73170731707317,0,47.80487804878049,0,1.4634146341463417,1.4634146341463417,18.536585365853657,55,761,6.25,6,SE,39,49,NA,NA,NA,NA,NA,NA
2024,BRBL04656085176112,BRBL,45,48,51,1,2,6,7,-37,Incubating,0,2,2,1,3,2,NA,15.899581589958158,0,41.004184100418414,1.2552301255230125,6.2761506276150625,0,35.56485355648535,30,970,6.75,5,SE,49,68,NA,NA,NA,NA,NA,NA
2024,BRBL04657325175670,BRBL,29,51,51,0,1,22,4,-24,Nestling,1,2,2,1,3,3,NA,16.033755274261605,16.033755274261605,41.35021097046413,0,0,0,26.582278481012654,50,105,8,6,SE,39,49,NA,NA,NA,NA,NA,NA
